NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal, RealDistance, AmclDistance, RRTDistance
1,8781,1,7497,0.682,1285,77,1,2.83149,0,7.6
2,3367,2,2763,0.957,605,22,0,1.49292,3.71491,2.02221
3,6123,3,5254,1.353,870,48,1,2.64527,1.62776,4.53413
4,2377,4,1853,1.478,525,29,1,1.78092,3.65456,2.8
5,3375,5,2821,1.724,555,55,1,3.64933,2.2304,5.4
6,9476,6,8100,2.366,1377,70,1,3.66603,4.98871,6.9
7,2217,7,1706,2.551,512,14,0,1.1214,3.37063,1.24104
8,2700,8,2185,2.711,516,44,1,2.41864,0.807478,4.26872
9,2829,9,2250,2.92,580,28,1,1.62041,3.1046,2.7
10,2869,10,2365,3.189,505,4,0,0.161634,2.46628,0.150369
11,2641,11,2112,3.325,530,59,1,3.44096,0.276209,5.75765
12,2849,12,2286,3.503,564,16,0,1.09331,5.35606,1.47001
13,5998,13,5099,3.887,900,69,1,3.81883,1.41052,6.65236
14,3722,14,3046,4.111,677,21,0,1.46718,2.64068,1.95174
15,3596,15,2927,4.368,670,37,1,2.3668,1.81345,3.6
16,4591,16,3747,4.662,845,29,1,1.72311,3.21717,2.69983
17,2612,17,2098,4.816,515,50,1,3.32228,2.29188,4.86757
18,3284,18,2695,5.004,590,69,1,3.65056,4.90186,6.76759
19,4660,19,3928,5.327,733,41,1,2.65297,5.99318,3.94328
20,2929,20,2359,5.559,571,29,1,1.82529,3.58879,2.7634
21,2960,21,2432,5.718,529,43,1,3.40625,2.31084,4.15981
22,2603,22,2102,5.84,502,65,1,3.57952,3.81095,6.4
23,3670,23,3021,6.16,650,55,0,2.28747,2.25537,5.30971
24,3120,24,2542,6.378,579,45,0,1.33471,1.52875,4.4
25,2764,25,2220,6.524,545,29,0,1.26535,1.79037,2.8
26,6994,26,5928,7.062,1067,79,1,2.6681,2.57018,7.7515
27,2931,27,2389,7.261,543,19,0,1.01577,4.03897,1.71717
28,2503,28,1985,7.423,519,33,1,1.65907,1.43568,3.14889
29,5855,29,4965,7.82,891,58,1,3.53698,2.47797,5.7
30,3411,30,2823,7.951,589,38,0,2.3846,1.54728,3.64537
31,3166,31,2621,8.099,546,68,1,3.68446,3.12596,6.66265
32,4052,32,3352,8.349,701,61,1,2.60006,5.95264,6
33,2491,33,1946,8.544,546,20,1,1.41282,5.01218,1.73916
34,3360,34,2768,8.737,593,56,1,3.32808,1.53763,5.5
35,9457,35,8113,9.55,1345,57,0,3.31132,0.0664309,5.38817
36,8236,36,7112,10.142,1125,71,1,3.86921,4.5487,7
37,5034,37,4243,10.432,792,46,0,3.87411,0.155546,4.44388
38,5545,38,4648,10.723,898,43,1,2.63176,4.03113,4.2
39,3513,39,2889,10.962,625,25,1,1.86431,3.23056,2.4
40,4866,40,4140,11.206,727,48,1,3.3723,2.24628,4.7
41,4891,41,4077,11.528,815,44,1,3.63473,3.95651,4.28139
42,4260,42,3554,11.834,707,36,1,2.44484,3.74293,3.45624
43,3656,43,3010,12.123,647,26,1,1.56955,2.98092,2.48547
44,2469,44,1939,12.261,531,40,1,3.3212,2.11854,3.87882
45,5394,45,4573,12.47,822,65,1,3.5633,3.50667,6.38463
46,6101,46,5145,12.92,957,56,0,2.04584,2.9139,5.49314
47,3300,47,2689,13.168,612,16,0,1.12662,3.35193,1.48318
48,12678,48,10953,14.402,1726,34,1,2.69068,1.26122,3.27172
49,2287,49,1776,14.523,512,6,0,0.408948,2.77585,0.396638
50,5032,50,4121,14.822,912,41,1,1.76672,0.580241,4
